kind,key,matches,wins,win_rate
ability,earth_spirit_boulder_smash,1325,575,0.433962
hero,ursa,1819,789,0.433755
hero,puck,3368,1459,0.433195
hero,clinkz,3652,1582,0.433187
ability,monkey_king_tree_dance,2196,951,0.433060
ability,chen_holy_persuasion,610,263,0.431148
ability,tinker_march_of_the_machines,1623,688,0.423906
hero,antimage,2197,931,0.423760
ability,templar_assassin_psionic_trap,1691,713,0.421644
ability,dazzle_nothl_projection,1348,564,0.418398
hero,invoker,3808,1590,0.417542
