kind,key,matches,wins,win_rate
ability,shadow_shaman_mass_serpent_ward,4211,2107,0.500356
ability,shadow_demon_demonic_purge,4219,2111,0.500356
ability,phantom_assassin_phantom_strike,4495,2249,0.500334
ability,venomancer_noxious_plague,4505,2252,0.499889
ability,furion_sprout,4489,2244,0.499889
hero,elder_titan,2809,1404,0.499822
ability,doom_bringer_scorched_earth,4204,2101,0.499762
ability,pudge_meat_hook,4573,2285,0.499672
ability,ringmaster_impalement,2942,1470,0.499660
ability,visage_soul_assumption,4422,2209,0.499548
ability,disruptor_static_storm,3922,1959,0.499490
ability,beastmaster_primal_roar,4801,2398,0.499479
ability,phoenix_supernova,4143,2069,0.499397
ability,furion_wrath_of_nature,4702,2348,0.499362
ability,nevermore_frenzy,3463,1729,0.499278
ability,enchantress_untouchable,4630,2311,0.499136
ability,death_prophet_carrion_swarm,3967,1980,0.499118
ability,necrolyte_ghost_shroud,2685,1340,0.499069
ability,brewmaster_primal_split,3399,1695,0.498676
ability,doom_bringer_doom,4786,2386,0.498537
ability,chen_hand_of_god,1653,824,0.498488
ability,largo_croak_of_genius,2255,1124,0.498448
ability,dawnbreaker_luminosity,4553,2269,0.498353
ability,phantom_lancer_juxtapose,4674,2329,0.498288
ability,leshrac_split_earth,4426,2205,0.498192
ability,silencer_global_silence,3996,1989,0.497748
ability,terrorblade_reflection,4503,2241,0.497668
hero,axe,3676,1829,0.497552
ability,void_spirit_resonant_pulse,4235,2107,0.497521
ability,hoodwink_scurry,3588,1785,0.497492
ability,pudge_dismember,3637,1809,0.497388
ability,treant_natures_grasp,2805,1395,0.497326
ability,razor_storm_surge,3972,1975,0.497231
ability,arc_warden_magnetic_field,3569,1774,0.497058
ability,weaver_time_lapse,3844,1910,0.496878
ability,visage_gravekeepers_cloak,4115,2044,0.496719
ability,invoker_ice_wall_ad,683,339,0.496340
ability,pangolier_lucky_shot,4470,2216,0.495749
ability,dragon_knight_breathe_fire,3044,1509,0.495729
hero,lich,3506,1738,0.495722
ability,dark_seer_ion_shell,4539,2250,0.495704
ability,lina_fiery_soul,4472,2216,0.495528
ability,viper_viper_strike,4583,2271,0.495527
ability,disruptor_glimpse,4442,2201,0.495498
ability,mirana_starfall,3779,1872,0.495369
ability,rubick_fade_bolt,3505,1736,0.495292
ability,muerta_dead_shot,4011,1985,0.494889
hero,skywrath_mage,4139,2047,0.494564
ability,crystal_maiden_crystal_nova,3464,1713,0.494515
ability,elder_titan_ancestral_spirit,3553,1757,0.494512
ability,dark_seer_vacuum,3723,1841,0.494494
ability,furion_teleportation,4670,2309,0.494433
hero,enchantress,3754,1856,0.494406
ability,kez_grappling_claw,2029,1003,0.494332
ability,hoodwink_bushwhack,4133,2043,0.494314
ability,jakiro_liquid_ice,2193,1084,0.494300
ability,faceless_void_chronosphere,4534,2241,0.494266
ability,drow_ranger_frost_arrows,4615,2281,0.494258
hero,dawnbreaker,3414,1687,0.494142
hero,magnataur,3835,1895,0.494133
ability,omniknight_guardian_angel,3143,1553,0.494114
hero,queenofpain,4419,2183,0.494003
ability,night_stalker_void,3488,1723,0.493979
hero,marci,3063,1513,0.493960
ability,ringmaster_the_box,3225,1593,0.493953
ability,rattletrap_power_cogs,3530,1743,0.493768
hero,spirit_breaker,2650,1308,0.493585
ability,slardar_amplify_damage,4392,2167,0.493397
hero,void_spirit,4151,2048,0.493375
ability,tidehunter_gush,4565,2252,0.493319
ability,naga_siren_ensnare,4306,2124,0.493265
hero,brewmaster,3810,1879,0.493176
hero,phantom_lancer,2342,1155,0.493168
ability,ember_spirit_searing_chains,4007,1976,0.493137
ability,vengefulspirit_nether_swap,3685,1817,0.493080
hero,windrunner,4449,2193,0.492920
ability,storm_spirit_electric_vortex,4101,2021,0.492807
hero,rattletrap,3909,1926,0.492709
ability,sven_gods_strength,4806,2367,0.492509
ability,earthshaker_echo_slam,2603,1282,0.492509
ability,kez_kazurai_katana,2258,1112,0.492471
ability,primal_beast_trample,3883,1911,0.492145
ability,ogre_magi_fireblast,4357,2144,0.492082
ability,pangolier_shield_crash,3912,1925,0.492076
ability,faceless_void_time_dilation,2612,1285,0.491960
ability,void_spirit_dissimilate,3899,1918,0.491921
ability,phoenix_icarus_dive,4389,2159,0.491912
ability,shadow_demon_disseminate,2039,1003,0.491908
ability,tusk_ice_shards,3672,1806,0.491830
ability,ogre_magi_bloodlust,4531,2227,0.491503
ability,dawnbreaker_celestial_hammer,3714,1824,0.491115
ability,witch_doctor_maledict,4584,2250,0.490838
ability,obsidian_destroyer_arcane_orb,3757,1843,0.490551
ability,ember_spirit_flame_guard,3515,1724,0.490469
ability,chaos_knight_reality_rift,4456,2184,0.490126
ability,skeleton_king_mortal_strike,4535,2221,0.489746
ability,kez_echo_slash,2022,990,0.489614
ability,invoker_emp_ad,952,466,0.489496
hero,phoenix,3827,1873,0.489417
ability,venomancer_venomous_gale,4120,2016,0.489320
ability,viper_nethertoxin,4254,2080,0.488952
hero,keeper_of_the_light,3821,1868,0.488877
ability,skywrath_mage_mystic_flare,3950,1931,0.488861
ability,huskar_burning_spear,4445,2171,0.488414
ability,axe_battle_hunger,4308,2104,0.488394
ability,pangolier_gyroshell,3451,1685,0.488264
ability,legion_commander_moment_of_courage,4612,2251,0.488075
hero,abaddon,3148,1536,0.487929
ability,drow_ranger_multishot,3634,1773,0.487892
ability,jakiro_macropyre,4212,2055,0.487892
hero,bounty_hunter,3371,1644,0.487689
ability,tusk_tag_team,1847,900,0.487277
ability,hoodwink_acorn_shot,4546,2215,0.487242
ability,puck_illusory_orb,3879,1890,0.487239
ability,alchemist_unstable_concoction,3916,1908,0.487232
ability,dark_seer_surge,3644,1774,0.486828
ability,clinkz_death_pact,3764,1832,0.486716
ability,puck_waning_rift,3440,1674,0.486628
ability,razor_eye_of_the_storm,4273,2078,0.486309
ability,medusa_mystic_snake,4529,2201,0.485979
ability,ember_spirit_fire_remnant,4273,2076,0.485841
ability,juggernaut_blade_dance,4576,2223,0.485795
ability,riki_blink_strike,4447,2160,0.485721
ability,snapfire_scatterblast,3927,1907,0.485612
ability,tiny_grow,4607,2237,0.485565
ability,death_prophet_exorcism,4829,2344,0.485401
ability,death_prophet_silence,2141,1039,0.485287
ability,keeper_of_the_light_spirit_form,3577,1735,0.485043
ability,zuus_arc_lightning,4512,2188,0.484929
ability,bristleback_quill_spray,4356,2111,0.484619
ability,abaddon_death_coil,1917,929,0.484611
ability,huskar_life_break,3614,1751,0.484505
ability,alchemist_corrosive_weaponry,4201,2035,0.484408
ability,grimstroke_dark_artistry,2788,1350,0.484218
ability,leshrac_diabolic_edict,4220,2043,0.484123
ability,medusa_stone_gaze,3818,1848,0.484023
ability,windrunner_shackleshot,4147,2004,0.483241
ability,muerta_gunslinger,4491,2170,0.483189
ability,invoker_deafening_blast_ad,921,445,0.483170
